Date,Open,High,Low,Close
10/13/2018,6188.01,6212,6178,6196
10/12/2018,6154.69,6235.2,6111.97,6188.01
10/11/2018,6524.56,6524.56,6033.34,6154.69
10/10/2018,6589.48,6591.32,6445.48,6524.56
10/9/2018,6608.07,6612.86,6552.5,6589.48
10/8/2018,6570,6681.19,6545.63,6608.07
10/7/2018,6552.43,6585.01,6491.81,6570
10/6/2018,6593.94,6594.39,6536,6552.43
10/5/2018,6547.45,6641,6512.81,6593.94
10/4/2018,6466.03,6603.01,6455,6547.45
10/3/2018,6498.46,6507.95,6398.96,6466.03
10/2/2018,6572.83,6591.37,6452,6498.46
10/1/2018,6605,6639.33,6479.03,6572.83
9/30/2018,6582,6640.37,6523,6605
9/29/2018,6620.01,6620.01,6452.02,6582
9/28/2018,6680.01,6786.73,6528.13,6620.01
9/27/2018,6455.66,6734.78,6430,6680.01
9/26/2018,6436.89,6537.26,6380.62,6455.66
9/25/2018,6582.09,6582.1,6320.5,6436.89
9/24/2018,6696.99,6716.16,6555.99,6582.09
9/23/2018,6707.33,6777,6660.05,6696.99
9/22/2018,6750,6823,6628.01,6707.33
9/21/2018,6493.11,6777.1,6492.5,6750
9/20/2018,6386.94,6530,6337,6493.11
9/19/2018,6335.7,6511,6106.37,6386.94
9/18/2018,6250.7,6384.04,6228,6335.7
9/17/2018,6498,6529.75,6207.55,6250.7
9/16/2018,6518.68,6521.75,6324.9,6498
9/15/2018,6478.04,6565,6470,6518.68
9/14/2018,6485.99,6580,6378.05,6478.04
9/13/2018,6326,6530,6323.65,6485.99
9/12/2018,6282.53,6340.94,6194.88,6326
9/11/2018,6299.99,6405,6176.76,6282.53
9/10/2018,6235.01,6375.13,6221.49,6299.99
9/9/2018,6188,6450,6147,6235.01
9/8/2018,6395.01,6460,6116,6188
9/7/2018,6495,6530,6325,6395.01
9/6/2018,6687.96,6703.73,6272.73,6495
9/5/2018,7360,7384,6664.07,6687.96
9/4/2018,7256.98,7402.5,7229.94,7360
9/3/2018,7295,7338,7192.99,7256.98
9/2/2018,7191.08,7328.36,7130.01,7295
9/1/2018,7015.01,7275,7010.98,7191.08
8/31/2018,6983,7090.46,6884.49,7015.01
8/30/2018,7030.9,7048.66,6790,6983
8/29/2018,7071.01,7119,6907.42,7030.9
8/28/2018,6911.9,7128,6864.96,7071.01
8/27/2018,6709.98,6947.6,6654.13,6911.9
8/26/2018,6737.52,6773,6574.27,6709.98
8/25/2018,6690.88,6790,6668,6737.52
8/24/2018,6526.36,6719,6451.55,6690.88
8/23/2018,6359.99,6568.37,6348.69,6526.36
8/22/2018,6475.9,6890.65,6250,6359.99
8/21/2018,6258.74,6490,6249.12,6475.9
8/20/2018,6489.53,6525,6227.71,6258.74
8/19/2018,6396.64,6547.34,6328.45,6489.53
8/18/2018,6585.49,6613.23,6312,6396.64
8/17/2018,6315.9,6585.5,6290.39,6585.49
8/16/2018,6269.01,6475.01,6200,6315.9
8/15/2018,6195.01,6636,6189,6269.01
8/14/2018,6253.67,6258.32,5900,6195.01
8/13/2018,6316.01,6544.99,6143,6253.67
8/12/2018,6112.21,6112.21,6112.21,6112.21
8/11/2018,6146.01,6190,6003,6112.21
8/10/2018,6546.46,6584.8,6015,6146.01
8/9/2018,6282.5,6633.21,6177.51,6546.46
8/8/2018,6718.22,6718.22,6121.04,6282.5
8/7/2018,6938,7152,6650,6718.22
8/6/2018,7030.01,7163,6840.06,6938
8/5/2018,7005,7086.52,6880,7030.01
8/4/2018,7414.08,7495,6940,7005
8/3/2018,7533.92,7538.53,7285,7414.08
8/2/2018,7603.99,7707.54,7462,7533.92
8/1/2018,7727.27,7750,7440.01,7603.99
7/31/2018,8170.01,8173.57,7634.22,7727.27
7/30/2018,8216.34,8274.92,7850,8170.01
7/29/2018,8228.9,8289.96,8127.87,8216.34
7/28/2018,8184.21,8230,8065,8228.9
7/27/2018,7931.99,8276.55,7787.29,8184.21
7/26/2018,8157.15,8290,7840,7931.99
7/25/2018,8401.01,8482.84,8042,8157.15
7/24/2018,7720.09,8488,7695.99,8401.01
7/23/2018,7397.8,7809,7378.26,7720.09
7/22/2018,7408,7569.69,7327.75,7397.8
7/21/2018,7334.46,7444.77,7204.32,7408
